latest_reference_month,release_date,actual_jobs,consensus_jobs,surprise,previous_month_reference,original_value,revised_value,revision_change,revision_commentary,meta_commentary,event_type,ivv_same_day_return,ivv_next_day_return,t0,t1
Sep,2024-10-04 00:00:00-04:00,254K,147K,107K,Aug,142K,159K,17K,Aug was revised up by 17K.,Sep jobs report showed 254K vs 147K expected. Big upside surprise. Aug was revised up by 17K.,jobs,-0.008963035214615833,0.009482248573444263,2024-10-06 00:00:00-04:00,2024-10-07 00:00:00-04:00
Aug,2024-09-06 00:00:00-04:00,142K,164K,-22K,Jul,114K,89K,-25K,Jul was revised down by 25K.,Aug jobs report showed 142K vs 164K expected. Slight downside miss. Jul was revised down by 25K.,jobs,0.011226104958331096,0.0036946000016440106,2024-09-08 00:00:00-04:00,2024-09-09 00:00:00-04:00
Jul,2024-08-02 00:00:00-04:00,114K,176K,-62K,Jun,206K,179K,-27K,Jun was revised down by 27K.,Jul jobs report showed 114K vs 176K expected. Significant downside surprise. Jun was revised down by 27K.,jobs,-0.029098408268311338,0.009496752860575164,2024-08-04 00:00:00-04:00,2024-08-05 00:00:00-04:00
Jun,2024-07-05 00:00:00-04:00,206K,191K,15K,May,272K,218K,-54K,May was revised down by 54K.,Jun jobs report showed 206K vs 191K expected. Slight upside beat. May was revised down by 54K.,jobs,0.0011653076217996716,0.0009312718081586624,2024-07-07 00:00:00-04:00,2024-07-08 00:00:00-04:00
May,2024-06-07 00:00:00-04:00,272K,182K,90K,Apr,175K,165K,-10K,Apr was revised down by 10K.,May jobs report showed 272K vs 182K expected. Big upside surprise. Apr was revised down by 10K.,jobs,0.0029812943291931404,0.0024797362172097603,2024-06-09 00:00:00-04:00,2024-06-10 00:00:00-04:00
Apr,2024-05-03 00:00:00-04:00,175K,238K,-63K,Mar,303K,315K,12K,Mar was revised up by 12K.,Apr jobs report showed 175K vs 238K expected. Significant downside surprise. Mar was revised up by 12K.,jobs,0.010411738295927675,0.0012905365731215035,2024-05-05 00:00:00-04:00,2024-05-06 00:00:00-04:00
Mar,2024-04-05 00:00:00-04:00,303K,212K,91K,Feb,275K,270K,-5K,Feb was revised down by 5K.,Mar jobs report showed 303K vs 212K expected. Big upside surprise. Feb was revised down by 5K.,jobs,0.00026860286250851573,0.0012472686970923519,2024-04-07 00:00:00-04:00,2024-04-08 00:00:00-04:00
Feb,2024-03-08 00:00:00-05:00,275K,198K,77K,Jan,353K,229K,-124K,Jan was sharply revised down by 124K.,Feb jobs report showed 275K vs 198K expected. Big upside surprise. Jan was sharply revised down by 124K.,jobs,-0.0004861379859578685,0.010427317965951977,2024-03-10 00:00:00-05:00,2024-03-11 00:00:00-04:00
Jan,2024-02-02 00:00:00-05:00,353K,187K,166K,Dec,216K,333K,117K,Dec was revised up by 117K.,Jan jobs report showed 353K vs 187K expected. Big upside surprise. Dec was revised up by 117K.,jobs,-0.0033419847638231914,0.002706873856220149,2024-02-04 00:00:00-05:00,2024-02-05 00:00:00-05:00
Dec,2024-01-05 00:00:00-05:00,216K,170K,46K,Nov,199K,173K,-26K,Nov was revised down by 26K.,Dec jobs report showed 216K vs 170K expected. Slight upside beat. Nov was revised down by 26K.,jobs,0.013762447398887101,-0.0009441633449612796,2024-01-07 00:00:00-05:00,2024-01-08 00:00:00-05:00
Nov,2023-12-08 00:00:00-05:00,199K,180K,19K,Oct,150K,150K,0K,Oct was unchanged.,Nov jobs report showed 199K vs 180K expected. Slight upside beat. Oct was unchanged.,jobs,0.003892999826345278,0.004955382768877525,2023-12-10 00:00:00-05:00,2023-12-11 00:00:00-05:00
Oct,2023-11-03 00:00:00-04:00,150K,180K,-30K,Sep,336K,297K,-39K,Sep was revised down by 39K.,Oct jobs report showed 150K vs 180K expected. Slight downside miss. Sep was revised down by 39K.,jobs,0.0024050980232424024,0.0,2023-11-05 00:00:00-04:00,2023-11-05 00:00:00-04:00
Sep,2023-10-06 00:00:00-04:00,336K,170K,166K,Aug,187K,227K,40K,Aug was revised up by 40K.,Sep jobs report showed 336K vs 170K expected. Big upside surprise. Aug was revised up by 40K.,jobs,0.006583458860373703,0.005228116869530064,2023-10-08 00:00:00-04:00,2023-10-09 00:00:00-04:00
Aug,2023-09-01 00:00:00-04:00,187K,170K,17K,Jul,187K,157K,-30K,Jul was revised down by 30K.,Aug jobs report showed 187K vs 170K expected. Slight upside beat. Jul was revised down by 30K.,jobs,-0.004298500736094724,-0.006951637416649503,2023-09-04 00:00:00-04:00,2023-09-05 00:00:00-04:00
